Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date,just_date
2007-09-25 00:00:00-04:00,9.340355017274366,9.62314044121018,9.192228829796406,9.59957504272461,13652800,0.0,0.0,2007-09-25 00:00:00-04:00,2007-09-25
2007-09-26 00:00:00-04:00,9.601257969757741,9.969889481520642,9.594524815780881,9.894143104553223,15681200,0.0,0.0,2007-09-26 00:00:00-04:00,2007-09-26
2007-09-27 00:00:00-04:00,9.740970989622703,9.754437302562119,9.266294374363726,9.55918025970459,20450800,0.0,0.0,2007-09-27 00:00:00-04:00,2007-09-27
2007-09-28 00:00:00-04:00,9.604627274594831,9.678690063048451,9.446401321744744,9.485116004943848,10254400,0.0,0.0,2007-09-28 00:00:00-04:00,2007-09-28
2007-10-01 00:00:00-04:00,9.54908141843183,9.611361516330826,9.244412801818124,9.45145320892334,10108400,0.0,0.0,2007-10-01 00:00:00-04:00,2007-10-01
2007-10-02 00:00:00-04:00,9.458183090911014,9.735919643917926,9.427884534506296,9.695521354675293,8101200,0.0,0.0,2007-10-02 00:00:00-04:00,2007-10-02
2007-10-03 00:00:00-04:00,9.500264530121969,9.614725602710946,9.453133726859107,9.52888011932373,9836400,0.0,0.0,2007-10-03 00:00:00-04:00,2007-10-03
2007-10-04 00:00:00-04:00,9.57432801764628,9.594526841733082,9.099651477897682,9.195596694946289,8743200,0.0,0.0,2007-10-04 00:00:00-04:00,2007-10-04
2007-10-05 00:00:00-04:00,9.274707774560147,9.555810874562868,9.224210400088632,9.547394752502441,9329600,0.0,0.0,2007-10-05 00:00:00-04:00,2007-10-05
2007-10-08 00:00:00-04:00,9.569276594752509,9.74601836955095,9.47669796735411,9.535612106323242,4688800,0.0,0.0,2007-10-08 00:00:00-04:00,2007-10-08
2007-10-09 00:00:00-04:00,9.629875749813346,9.912661879115737,9.607993956101312,9.882363319396973,11420800,0.0,0.0,2007-10-09 00:00:00-04:00,2007-10-09
2007-10-10 00:00:00-04:00,9.889095720921489,10.006923372826618,9.762851945760788,9.926127433776855,8718800,0.0,0.0,2007-10-10 00:00:00-04:00,2007-10-10
2007-10-11 00:00:00-04:00,9.953057835547003,9.998505664452846,9.426200384278099,9.602941513061523,6229600,0.0,0.0,2007-10-11 00:00:00-04:00,2007-10-11
2007-10-12 00:00:00-04:00,9.582743684413195,9.677005929176952,9.431250905705197,9.661856651306152,8033200,0.0,0.0,2007-10-12 00:00:00-04:00,2007-10-12
2007-10-15 00:00:00-04:00,9.779684808735034,10.01365715948626,9.641658323894218,9.766219139099121,11118400,0.0,0.0,2007-10-15 00:00:00-04:00,2007-10-15
2007-10-16 00:00:00-04:00,9.677005287480423,9.964840905829806,9.677005287480423,9.783049583435059,7624000,0.0,0.0,2007-10-16 00:00:00-04:00,2007-10-16
2007-10-17 00:00:00-04:00,10.011973154215957,10.12475126324633,9.715721370721187,9.848697662353516,12518000,0.0,0.0,2007-10-17 00:00:00-04:00,2007-10-17
2007-10-18 00:00:00-04:00,9.830183404126375,9.953060616414314,9.732554564656736,9.828499794006348,5218800,0.0,0.0,2007-10-18 00:00:00-04:00,2007-10-18
2007-10-19 00:00:00-04:00,9.84869690494302,9.926126904247129,9.544029021424791,9.550762176513672,4996400,0.0,0.0,2007-10-19 00:00:00-04:00,2007-10-19
2007-10-22 00:00:00-04:00,9.409367778539659,9.76285002251115,8.963306270667564,9.554126739501953,10362000,0.0,0.0,2007-10-22 00:00:00-04:00,2007-10-22
2007-10-23 00:00:00-04:00,9.6315610173086,10.121386960908326,9.535615775724782,10.10792064666748,9815200,0.0,0.0,2007-10-23 00:00:00-04:00,2007-10-23
2007-10-24 00:00:00-04:00,10.208914897563554,10.234163270684027,9.587795030319292,9.784735679626465,7404000,0.0,0.0,2007-10-24 00:00:00-04:00,2007-10-24
2007-10-25 00:00:00-04:00,9.831865047073189,9.877312882551962,9.400952736025914,9.52888011932373,8461200,0.0,0.0,2007-10-25 00:00:00-04:00,2007-10-25
2007-10-26 00:00:00-04:00,9.8587960852009,9.922759770743445,9.594525862804648,9.668588638305664,13177200,0.0,0.0,2007-10-26 00:00:00-04:00,2007-10-26
